#Standort;Name;Lat(°N);Lon(°E);Alt(m);APOLLO;WXT;HöheT(m);HöheP(m);HöheWXT(m);Messbeginn(UTC);Messende(UTC);LocalClimateZone
002MIw;Wettermast, Billwerder;53.51996;10.10515;1;;;;;3;20180606 1200;;6D
004MIw;Wasserwerk Baursberg, Blankenese;53.56692;9.78784;82;;;;;2;20180503 0645;;6
005WSw;Wetterstation Langenhorn Grünfläche;53.67731;10.02480;24;;19;;;3;20200611 1145;20200903 0930;6B
006WSw;Wetterstation Stellingen Grünfläche;53.60056;9.93568;14;;9;;;3;20200608 1245;20200902 1320;6B
007WSa;Wetterstation Stellingen Wohngebiet;53.59817;9.92575;21;44;;3;2;;20200602 1455;20200902 1305;6
008WSa;Wetterstation Wilhelmsburg Grünfläche;53.49349;10.00290;3;77;;3;2;;20200529 1105;20200901 1515;6
010WSa;Wetterstation HafenCity;53.54109;9.99505;8;6;;2;1.5;;20200609 1015;20200902 1255;5
011WSa;Wetterstation Zollamt;53.52393;10.09486;6;40;;3;2;;20200603 0745;20200901 0815;8
015LMa;Luftmessnetz Max-Brauer-Allee;53.55571;9.94306;25;33;;3;2;;20200602 1615;20200903 0900;2
016LMa;Luftmessnetz Kieler Straße;53.56440;9.94464;17;28;;3;2;;20200602 1700;20200903 0935;2
017LMw;Luftmessnetz Finkenwerder;53.53621;9.84419;6;;12;;;5;20200605 0930;20200904 0955;6
018LMa;Luftmessnetz Habichtstraße;53.59240;10.05374;13;32;;3;2;;20200602 1250;20200903 0715;5
019LMa;Luftmessnetz Elbhang;53.54523;9.94488;23;48;;3;2;;20200602 1530;20200903 0845;5
020LMa;Luftmessnetz Rothenburgsort;53.53463;10.04861;4;71;;3;2;;20200602 0700;20200901 1345;5
021LMa;Luftmessnetz Stresemannstraße;53.56086;9.95733;21;39;;3;2;;20200602 1745;20200903 0920;2
022LMa;Luftmessnetz Neugraben;53.48101;9.85715;3;76;;3;2;;20200605 1540;20200904 1245;6
023LMa;Luftmessnetz Wilhelmsburg;53.50789;9.99059;3;49;;3;2;;20200529 1020;20200901 1530;6
024LMa;Luftmessnetz Hafen;53.52910;9.98163;6;53;;3;2;;20200529 0930;20200904 0850;8
025LMa;Luftmessnetz Veddel;53.52287;10.02204;5;41;;3;2;;20200529 1210;20200901 1330;5G
026LMa;Luftmessnetz Billbrook;53.52945;10.08207;5;23;;3;2;;20200603 0715;20200901 0800;8G
027KBa;Saselbekstraße, Sasel;53.65976;10.11679;30;87;;3;2;;20200615 1150;20200903 1200;6
028KBa;Halepaghen Schule, Buxtehude;53.47613;9.69293;3;93;;1.8;1.2;;20200605 1250;20200904 1210;6
029KBa;Stadtteilschule Eidelstedt;53.60816;9.89548;19;102;;3;2;;20200603 1055;20200902 1230;6
030KBa;Stadtteilschule Meiendorf;53.62835;10.16431;40;20;;1.8;1;;20200611 1350;20200903 1430;6
031KBa;Gymnasium Rahlstedt;53.60212;10.14735;31;19;;1.8;1;;20200611 1420;20200903 1330;6
033KBa;Stadtteilschule Blankenese;53.56509;9.82479;39;58;;3;2;;20200603 1400;20200902 0935;6
035KBw;Gut Karlshöhe, Bramfeld;53.63052;10.11114;31;;4;;;3;20200608 1300;20200903 1300;6
036KBa;Schule Redder, Sasel;53.65064;10.10965;38;9;;1.8;1;;20200611 0945;20200903 1145;6
037UHa;Uni Physik DESY, Bahrenfeld;53.57615;9.88457;38;26;;3;2;;20200604 1145;20200902 0840;5
039UHa;Uni Campus, Rotherbaum;53.56615;9.98540;12;17;;3;2;;20200609 0830;20200903 0745;5
040UHa;Geomatikum, Balkon 16. Stock;53.56831;9.97495;16;11;;68;68;;20200610 1300;;4
