#ID;Name;Lat(°N);Lon(°E);Alt(m);APOLLO;WXT;Start(UTC);End(UTC);LocalClimateZone;Maintenance
001Sa;Falkenberg Messfeld Mast;52.16665;14.12292;74;40;;20210428 1620;20210830 1500;D;C13
002Ba;Falkenberg Ort Nord-West;52.17447;14.11710;76;16;;20210427 1355;20210829 0810;D;C18
003Ba;Falkenberg Ort Nord-Ost;52.16954;14.13145;76;58;;20210427 1405;20210827 2200;D;C17
004Ba;Falkenberg Ort Mitte;52.15904;14.12375;70;91;;20210427 0945;20210828 1830;9;C08
005Ba;Falkenberg Ort Süd-West;52.16083;14.11384;68;84;;20210427 0955;20210828 1830;D;C09
006Ba;Falkenberg Ort West;52.16883;14.11140;73;107;;20210427 0930;20210830 1500;D;C16
007Cw;Buckow West;52.17681;14.14156;78;;19;20210429 1030;20210827 2200;D;E05
008Ca;Buckow Süd;52.17226;14.15041;69;30;;20210427 1425;20210829 1245;D;E04
009Ca;Falkenberg Ort Ost;52.16222;14.14745;71;98;;20210428 1710;20210829 1345;D;E06
011Cw;Falkenberg Ort Süd;52.15079;14.11653;63;;20;20210503 1545;20210901 1245;D;C10
012Ca;Görsdorf Nord;52.15593;14.10127;68;41;;20210427 1025;20210828 1830;D;C07
013Ca;Premsdorf Nord;52.16569;14.09674;70;74;;20210427 1005;20210828 1830;D;C04
014Ca;Lindenberg Grundmühle Süd;52.18369;14.10176;82;10;;20210427 1320;20210829 0745;A;C02
015Ca;Falkenberg Ort Nord;52.18205;14.12249;83;106;;20210430 1015;20210827 2200;D;C19
016Da;Lindenberg Ort;52.19431;14.11781;93;7;;20210430 1020;20210827 2200;9;C20
017Da;Buckow Nord;52.19100;14.14801;88;37;;20210427 1515;20210610 1400;D;E01
017Da;Buckow Nord;52.19100;14.14801;88;63;;20210610 1415;20210827 2200;D;E01
018Da;Buckow Ost;52.18252;14.16660;74;25;;20210427 1445;20210827 2200;9;E02
019Da;Buckow Süd-Ost;52.17315;14.16679;67;50;;20210427 1435;20210829 1255;D;E03
020Da;Tauche;52.15342;14.16586;58;3;;20210430 1035;20210626 0855;9;S01
020Da;Tauche;52.15342;14.16586;58;68;;20210626 0900;20210830 1115;9;S01
021Da;Giesensdorf Ost;52.13998;14.14460;50;32;;20210430 1045;20210830 1120;D;S02
022Da;Giesensdorf West;52.13324;14.12064;55;8;;20210430 1055;20210830 1130;D;S03
023Da;Görsdorf Süd;52.14539;14.08758;69;4;;20210429 1250;20210829 0530;A;C06
024Da;Premsdorf Süd;52.15848;14.08791;62;5;;20210427 1015;20210829 0530;D;C05
025Dw;Ahrensdorf Mitte;52.17044;14.07133;65;;7;20210429 1320;20210827 2230;D;W01
026Da;Ahrensdorf Nord;52.18212;14.08336;71;92;;20210427 1255;20210827 2200;A;C03
027Da;Lindenberg Grundmühle Nord;52.19090;14.09917;82;80;;20210427 1305;20210827 2200;D;C01
028Ea;Herzberg Ost;52.20919;14.14270;97;56;;20210428 1530;20210517 1415;D;N20
028Ea;Herzberg Ost;52.20919;14.14270;97;99;;20210517 1420;20210829 1220;D;N20
029Ea;Birkholz Ort West;52.19798;14.17477;71;49;;20210428 1410;20210629 1500;D;N19
029Ea;Birkholz Ort West;52.19798;14.17477;71;24;;20210630 1820;20210829 1230;D;N19
030Ea;Birkholz Ort Süd;52.18315;14.19461;67;53;;20210429 1355;20210831 1550;D;N15
031Ea;Kohlsdorf West;52.16169;14.19387;59;108;;20210428 1720;20210829 1355;9;E07
032Ew;Kohlsdorf Süd;52.15391;14.20289;53;;16;20210503 1615;20210901 1310;9;E08
033Ea;Stremmen;52.13008;14.16784;48;76;;20210503 1220;20210830 1545;9;S18
035Ew;Kossenblatt Ost;52.12175;14.09917;49;;14;20210504 1625;20210830 1145;D;S04
036Ea;Kossenblatt Nord;52.12349;14.07589;51;46;;20210503 1330;20210830 1155;A;S05
037Ea;Schwenow Nord;52.14628;14.04773;50;45;;20210430 0835;20210829 0850;A;W04
038Ea;Ahrensdorf Süd;52.16569;14.05454;60;26;;20210427 1235;20210827 2200;A;W02
039Ea;Behrensdorf;52.18434;14.05450;67;105;;20210427 1200;20210827 2240;9;W22
040Ew;Glienicke;52.20178;14.07979;74;;9;20210504 0640;20210831 0615;D;W18
041Ea;Herzberg Süd;52.21118;14.11673;95;102;;20210428 1540;20210827 2200;9;N04
042Fa;Hartensdorf;52.23404;14.12148;99;71;;20210428 1510;20210604 0850;D;N05
042Fa;Hartensdorf;52.23404;14.12148;99;1;;20210604 0855;20210827 2200;D;N05
043Fa;Rietz-Neuendorf;52.22975;14.17373;83;23;;20210428 1440;20210830 0855;9;N09
044Fa;Klein Rietz;52.21316;14.19858;71;90;;20210428 1430;20210830 0935;9;N13
045Fa;Neuendorf;52.19210;14.22234;55;31;;20210429 1420;20210831 1535;A;N14
046Fa;Beeskow West;52.16677;14.23041;45;12;;20210428 1735;20210829 1400;6;E09
047Fa;Kummerow;52.13931;14.22781;57;42;;20210429 1545;20210812 1240;D;E14
047Fa;Kummerow;52.13931;14.22781;57;9;;20210812 1245;20210829 1525;D;E14
048Fa;Ranzig Nord;52.12148;14.19317;44;65;;20210503 1530;20210830 1555;9;S17
049Fa;Ranzig Süd;52.11004;14.17446;45;110;;20210503 1235;20210830 1530;D;S16
050Fa;Briescht;52.10225;14.11889;44;61;;20210503 1305;20210830 1210;A;S07
051Fa;Kossenblatt Süd;52.10797;14.06385;46;33;;20210430 1115;20210626 1025;9;S06
051Fa;Kossenblatt Süd;52.10797;14.06385;46;88;;20210626 1030;20210830 1200;9;S06
052Fw;Werder;52.12648;14.03591;51;;13;20210504 1655;20210829 0905;D;W05
053Fa;Schwenow West;52.14171;14.02228;49;9;;20210430 0820;20210812 0935;A;W03
053Fa;Schwenow West;52.14171;14.02228;49;27;;20210812 0940;20210829 0840;A;W03
054Fa;Limsdorf;52.15959;14.01593;68;43;;20210430 0845;20210829 0915;9;W06
055Fa;Wendisch Rietz Siedlung;52.19824;14.02656;49;75;;20210427 1220;20210827 2240;9;W21
056Fa;Wendisch Rietz Ost;52.21092;14.04121;50;47;;20210428 0630;20210829 1155;A;W19
057Fa;Diensdorf-Radlow;52.22504;14.06627;70;36;;20210428 0710;20210829 1135;D;W17
058Gw;Wilmersdorf;52.26243;14.13845;96;;2;20210504 1700;20210827 2200;D;N06
059Ga;Pfaffendorf;52.25475;14.16045;115;52;;20210428 1455;20210830 0845;A;N08
060Ga;Görzig;52.23394;14.22851;57;55;;20210503 1545;20210830 0925;D;N12
061Ga;Oegeln;52.18168;14.27788;45;93;;20210429 1500;20210829 1435;A;E11
062Ga;Beeskow Ost;52.16194;14.27824;55;77;;20210428 1820;20210829 1450;D;E12
063Gw;Friedland;52.11795;14.25689;52;;4;20210504 0840;20210829 1540;D;E16
064Ga;Sarkow;52.08827;14.21492;46;18;;20210429 1700;20210829 1555;D;E15
065Ga;Sawall;52.07748;14.17836;45;20;;20210503 1500;20210830 1230;9;S08
066Gw;Mittweide;52.05941;14.13802;45;;11;20210505 1335;20210830 1245;D;S09
067Ga;Wittmannsdorf;52.07495;14.07180;51;72;;20210430 1130;20210830 1355;A;S10
068Ga;Pretschen;52.09160;14.00836;49;51;;20210430 1145;20210830 1410;A;S11
069Ga;Alt-Schadow Ost;52.12149;13.97450;45;64;;20210430 0800;20210829 0930;A;W07
070Ga;Kehrigk Ost;52.15511;13.96839;71;101;;20210430 0720;20210829 0955;A;W09
072Ga;Wendisch Rietz West;52.21576;13.98621;47;81;;20210428 1205;20210827 2200;A;W20
073Gw;Silberberg;52.25125;14.03703;55;;5;20210504 0925;20210827 2310;A;W14
074Ga;Theresienhof;52.25933;14.07460;54;69;;20210428 1010;20210829 1125;A;W16
075Ha;Alt Golm;52.30390;14.13072;91;89;;20210503 1650;20210827 2200;9;N07
076Hw;Drahendorf;52.28156;14.23305;42;;18;20210504 1605;20210901 1250;D;N10
077Ha;Neubrück;52.26692;14.26783;42;59;;20210503 1605;20210830 0910;A;N11
078Ha;Ragow-Merz;52.21456;14.32346;47;19;;20210429 1445;20210829 1420;A;E10
079Hw;Schneeberg;52.16954;14.33995;47;;15;20210504 0805;20210829 1500;D;E13
080Ha;Günthersdorf;52.09323;14.30788;57;66;;20210429 1620;20210829 1625;9;E17
081Ha;Karras;52.06891;14.27320;61;44;;20210429 1635;20210829 1610;A;E18
082Hw;Pieskow;52.04486;14.22639;48;;3;20210504 0920;20210829 1645;D;E19
083Ha;Ressen;52.03461;14.16420;46;85;;20210503 1435;20210830 1325;9;S16
084Ha;Leibchel;52.03116;14.09413;47;54;;20210503 1425;20210830 1255;D;S15
085Ha;Groß Leuthen;52.04072;14.03212;55;39;;20210503 1400;20210830 1500;D;S13
086Hw;Gröditsch;52.05383;13.97941;46;;8;20210505 1420;20210830 1450;D;S12
087Ha;Alt-Schadow Süd;52.10552;13.92350;48;57;;20210430 0745;20210829 0940;A;W08
088Hw;Kehrigk West;52.15989;13.90631;71;;6;20210504 0830;20210829 1010;D;W10
089Ha;Bugk;52.18970;13.91841;48;109;;20210430 0725;20210625 1655;D;W11
089Ha;Bugk;52.18970;13.91841;48;14;;20210625 1700;20210829 1020;D;W11
090Ha;Storkow Süd;52.24300;13.94040;39;96;;20210428 1210;20210828 1710;9;W12
091Ha;Storkow Nord;52.27446;13.95725;45;38;;20210428 1110;20210828 2110;A;W13
092Ha;Bad Saarow;52.30019;14.05114;46;100;;20210428 1035;20210827 2200;A;W15
093Sa;Falkenberg Messfeld Mitte Süd;52.16572;14.12269;74;2;;20210428 1625;20210830 1500;D;C12
094Sw;Falkenberg Messfeld Süd;52.16431;14.12218;73;;1;20210429 1200;20210830 1500;D;C11
095Sa;Falkenberg Messfeld Mitte West;52.16707;14.11944;72;87;;20210428 1645;20210830 1500;D;C14
096Sa;Falkenberg Messfeld West;52.16755;14.11569;69;48;;20210428 1650;20210830 1500;D;C15
097Sw;Lindenberg Messfeld;52.20863;14.11840;98;;21;20210429 1100;20210831 0710;9;N01
098Sa;Lindenberg Windenhaus;52.20881;14.12339;116;13;;20210428 0925;20210831 0700;A;N02
099Sa;Lindenberg Windprofiler;52.20933;14.12874;104;28;;20210507 0915;20210831 0705;A;N03
100Sw;Birkholz Messfeld Mitte;52.20144;14.19195;68;;12;20210505 0720;20210831 1145;D;N17
101Sa;Birkholz Messfeld West;52.20441;14.18291;69;6;;20210505 0900;20210830 0940;D;N18
102Sa;Birkholz Messfeld Ost;52.20160;14.19402;68;17;;20210505 0840;20210831 1600;9;N16
